theme,subtheme,count,mean_growth,pct_avoid
Disney,Frozen,1,1.59,1.0
Disney,Moana,1,2.5,1.0
Collectible Minifigures,The LEGO Movie 2 The Second Part,1,2.52,1.0
Friends,Bedrooms,4,2.695,1.0
Holiday & Event,Seasonal,4,2.935,0.75
Friends,Sea Rescue,2,2.98,1.0
Friends,Science,1,3.63,1.0
Dots,Bracelets,1,3.73,1.0
Super Heroes,Black Panther,4,3.9650002,1.0
Classic,Miscellaneous,1,3.99,1.0
Technic,Licensed,4,4.09,1.0
SPEED CHAMPIONS,Aston Martin,1,4.44,1.0
Holiday & Event,Chinese Traditional Festivals,3,4.45,1.0
Friends,Traffic,2,4.525,0.5
Star Wars,The Mandalorian,2,4.6,1.0
Harry Potter,Deathly Hallows,1,4.6,1.0
Star Wars,The Book of Boba Fett,1,4.6,1.0
Star Wars,Diorama Collection,3,4.846667,0.3333333333333333
Star Wars,Seasonal,1,5.2,0.0
Town,Traffic,1,5.28,0.0
Friends,Dog Rescue,2,5.46,0.5
Super Heroes,Age of Ultron,2,5.535,0.5
Botanicals,Botanical Collection,1,5.59,0.0
LEGO Ideas (CUUSOO),Licensed,1,5.88,0.0
Disney,Wish,2,5.93,0.0
Lightyear,Lightyear,3,5.93,0.0
Harry Potter,Hogwarts Moments,2,6.05,0.0
Star Wars,The Clone Wars,1,6.08,0.0
Star Wars,Resistance,1,6.1,0.0
LEGO Ideas (CUUSOO),Promotional,1,6.12,0.0
Star Wars,Andor,1,6.13,0.0
Star Wars,Obi-Wan Kenobi,2,6.15,0.0
Super Heroes,Iron Man 2,1,6.25,0.0
Super Heroes,Thor Love and Thunder,2,6.25,0.0
Super Heroes,Black Panther Wakanda Forever,1,6.25,0.0
Classic,Creative Fun,5,6.326,0.6
Super Heroes,Guardians of the Galaxy Vol 2,1,6.46,0.0
Friends,Great Outdoors,1,6.47,0.0
Star Wars,The Bad Batch,1,6.5,0.0
Super Mario,Miscellaneous,1,6.52,0.0
Friends,Horseback Riding,2,6.56,0.0
Harry Potter,Chamber of Secrets,1,6.64,0.0
Disney,Storybook Adventures,2,6.73,0.0
Collectible Minifigures,Disney Series 2,1,6.81,0.0
Star Wars,Episode VI,1,7.0,0.0
Super Mario,Expansion Set,3,7.036667,0.6666666666666666
Star Wars,4 Plus,3,7.06,0.0
Star Wars,Ultimate Collector Series,2,7.065,0.0
SPEED CHAMPIONS,Mercedes,1,7.17,0.0
Disney,Sleeping Beauty,1,7.26,0.0
Friends,Sports,2,7.34,0.0
Friends,Houses,2,7.7650003,0.0
Dots,Harry Potter,3,7.84,0.0
Friends,Park,1,7.87,0.0
DUPLO,Disney 100,1,8.09,0.0
Super Mario,Maker Set,1,8.2,0.0
Creator,3 in 1,8,8.42625,0.625
Monkie Kid,Season 3,9,8.464444,0.2222222222222222
Town,Medical,1,8.66,0.0
Friends,Beach,2,8.66,0.0
Star Wars,Episode V,5,8.842,0.2
Friends,Holiday,2,8.85,0.0
Star Wars,Episode IV,1,9.01,0.0
Jurassic World,Dominion,8,9.0525,0.375
Star Wars,Helmet Collection,2,9.055,0.0
Disney,The Little Mermaid,2,9.360001,0.0
Star Wars,The Rise of Skywalker,4,9.365,0.25
Star Wars,MicroFighters,4,9.52,0.0
Star Wars,The Force Awakens,1,9.77,0.0
Harry Potter,Promotional,1,9.85,0.0
Disney,Disney Princess,1,10.25,0.0
NINJAGO,Core,9,10.275555,0.0
Super Mario,Character Pack Series 5,1,10.32,0.0
LEGO Brand,LEGO House,1,10.65,0.0
FIRST LEGO League,FIRST LEGO League Challenge,1,10.7,0.0
DUPLO,Spidey and His Amazing Friends,1,11.01,0.0
Friends,Heartlake City,7,11.155714,0.2857142857142857
Pirates,Pirates System,1,11.32,0.0
DREAMZzz,Trials of the Dream Chasers,1,11.96,0.0
Creator,Winter Village,1,12.41,0.0
Super Heroes,Avengers,2,12.565001,0.0
Holiday & Event,Birthday,2,12.585,0.0
Town,Stuntz,2,12.6,0.0
Star Wars,Promotional,2,12.735001,0.0
Star Wars,Battlefront,1,13.16,0.0
Star Wars,Episode I,1,14.04,0.0
Creator,Vehicles,2,14.26,0.0
Harry Potter,Characters Sculptures,1,15.1,0.0
BrickHeadz,Star Wars,3,15.153333,0.0
Super Heroes,Spider-Man,8,15.48375,0.0
BrickHeadz,Wizarding World,3,15.713333,0.0
Disney,Aladdin,1,15.86,0.0
Star Wars,Episode III,2,15.940001,0.0
Dots,Accessories,1,16.19,0.0
Super Heroes,X-Men,1,16.19,0.0
NINJAGO,Crystalized,8,16.3175,0.0
Horizon,Licensed,1,16.34,0.0
BrickHeadz,Disney,3,16.406668,0.0
BrickHeadz,Minecraft,3,17.036667,0.0
Technic,Monster Jam,2,17.33,0.0
Super Heroes,Doctor Strange in the Multiverse of Madness,2,17.525,0.0
Harry Potter,Order of the Phoenix,2,17.865,0.0
DUPLO,Cars,1,18.34,0.0
Holiday & Event,Easter,2,18.744999,0.0
SPEED CHAMPIONS,Ferrari,1,18.81,0.0
Super Heroes,Batman,1,18.91,0.0
Holiday & Event,Christmas,3,18.910002,0.3333333333333333
Minecraft,Minifig-scale,12,19.159166,0.0
Disney,Disney 100,8,19.62875,0.0
Promotional,Gift With Purchase,2,21.465,0.0
Harry Potter,Prisoner of Azkaban,3,21.516668,0.0
BrickHeadz,The Lord of the Rings,3,22.116667,0.0
Disney,Tangled,1,22.62,0.0
Jurassic World,Jurassic Park,1,23.25,0.0
BrickHeadz,Sonic the Hedgehog,2,24.650002,0.0
SPEED CHAMPIONS,Lamborghini,1,26.27,0.0
Creator,Postcard,1,28.44,0.0
SPEED CHAMPIONS,Dodge,1,30.4,0.0
Holiday & Event,Chinese New Year,1,30.4,0.0
Star Wars,Jedi Fallen Order,1,30.4,0.0
Super Heroes,Avengers: Endgame,1,31.3,0.0
FIRST LEGO League,FIRST LEGO League,1,31.4,0.0
Promotional,Gift with Purchase,1,32.3,0.0
Promotional,Houses of the World,4,32.975,0.0
Creator,Promotional,1,33.2,0.0
Space,Space,1,33.2,0.0
Promotional,Botanical Collection,1,33.2,0.0
Promotional,Promotional,2,33.2,0.0
