theme,count,mean_growth,median_growth,pct_bottom_q,pct_avoid
Gabby's Dollhouse,3,5.3700004,1.53,0.6666666666666666,0.6666666666666666
Classic,7,8.842857,4.64,0.5714285714285714,0.5714285714285714
Collectible Minifigures,2,4.665,4.665,0.5,0.5
Super Mario,9,6.6044445,6.49,0.4444444444444444,0.4444444444444444
Technic,9,9.114445,7.22,0.4444444444444444,0.4444444444444444
Holiday & Event,16,12.28625,5.5,0.4375,0.4375
Creator,14,12.559286,9.22,0.35714285714285715,0.35714285714285715
Friends,34,7.3282356,5.835,0.35294117647058826,0.35294117647058826
The LEGO Movie 2,9,9.965556,6.45,0.3333333333333333,0.3333333333333333
Monkie Kid,10,7.7790003,8.47,0.3,0.3
Jurassic World,10,10.097,8.085,0.3,0.3
DUPLO,19,11.190526,9.55,0.2631578947368421,0.2631578947368421
SPEED CHAMPIONS,5,17.418,18.81,0.2,0.2
Super Heroes,27,12.527407,9.27,0.18518518518518517,0.18518518518518517
Star Wars,44,8.947727,7.275,0.13636363636363635,0.13636363636363635
Dots,8,11.27375,9.325,0.125,0.125
Disney,20,13.0575,11.165,0.1,0.1
Harry Potter,12,13.355,10.77,0.08333333333333333,0.08333333333333333
Avatar,4,16.6975,15.360001,0.0,0.0
Art,2,18.86,18.86,0.0,0.0
Botanicals,1,5.59,5.59,0.0,0.0
BIONICLE,1,33.2,33.2,0.0,0.0
LEGO Brand,1,10.65,10.65,0.0,0.0
DREAMZzz,1,11.96,11.96,0.0,0.0
BrickHeadz,17,18.151764,18.91,0.0,0.0
Horizon,1,16.34,16.34,0.0,0.0
FIRST LEGO League,2,21.05,21.05,0.0,0.0
Lightyear,3,5.93,5.93,0.0,0.0
Promotional,10,30.673,33.2,0.0,0.0
Pirates,1,11.32,11.32,0.0,0.0
NINJAGO,18,12.731112,10.975,0.0,0.0
Minecraft,12,19.159166,22.21,0.0,0.0
LEGO Ideas (CUUSOO),7,11.252858,6.04,0.0,0.0
Sports,1,6.37,6.37,0.0,0.0
Space,1,33.2,33.2,0.0,0.0
Town,4,9.785,7.285,0.0,0.0
