feature,importance_mean,importance_std
theme_bayes,0.19440993788819874,0.018695548997878755
subtheme_loo,0.0745341614906832,0.010206010388295036
minifig_density,0.027639751552794977,0.005965643699471586
theme_size,0.024844720496894356,0.007479251291175338
log_rrp,0.016459627329192494,0.006811090745174334
rating_value,0.009316770186335355,0.006660748630287957
log_parts,0.00869565217391297,0.0043478260869565175
usd_gbp_ratio,0.004347826086956464,0.005590062111801237
price_per_part,0.004037267080745299,0.003121079385441258
review_count,0.004037267080745288,0.003416149068322954
is_licensed,-0.0006211180124224058,0.003344822861574224
mfigs,-0.0018633540372671286,0.002060015397736287
sub_size,-0.0021739130434782926,0.0019885478998238827
